license_number,entity_name,telephone_number,shl_endorsed,building,street,city,state,postcode,type_of_base,latitude,longitude,date,time,location
B03273,ELEGANT LUXURY LIMO LLC,8558888595,No,266,JERICHO TURNPIKE,FLORAL PARK,NY,11001,LUXURY/LIMOUSINE,40.7290104,-73.7009209,12/04/2023,18:00:12,"(40.7290104, -73.7009209)"
B03292,PIBE TRANSPORTATION INC.,3473910707,No,1431,ZEREGA AVENUE,BRONX,NY,10462,BLACK CAR BASE,40.8372279,-73.8477726,12/04/2023,18:00:12,"(40.8372279, -73.8477726)"
B02480,WOODHAVEN LIMOUSINE INC,7183742609,No,25-26,50 STREET  STE 209B,WOODSIDE,NY,11377,LUXURY/LIMOUSINE,40.763637,-73.904449,12/04/2023,18:00:12,"(40.763637, -73.904449)"
B02163,JUNIORS EXPRESS CAR SERVICE INC.,7188591155,No,1509,CORTELYOU ROAD,BROOKLYN,NY,11226,LIVERY BASE,40.641619,-73.96416,12/04/2023,18:00:12,"(40.641619, -73.96416)"
B03229,FVR TRANSPORTATION INC.,9179295146,No,1379,WHITE PLAINS ROAD  #301,BRONX,NY,10462,BLACK CAR BASE,40.8353132,-73.8634416,12/04/2023,18:00:12,"(40.8353132, -73.8634416)"
B03362,AURA CAR SERVICE CORP.,2129818184,No,84,NAGLE AVENUE,NEW YORK,NY,10040,BLACK CAR BASE,40.8606645,-73.9281348,12/04/2023,18:00:12,"(40.8606645, -73.9281348)"
B02886,PRINCE LUXURY CORP.,7184396000,No,5915,4 AVENUE,BROOKLYN,NY,11220,BLACK CAR BASE,40.640935,-74.01791,12/04/2023,18:00:12,"(40.640935, -74.01791)"
B02406,MY SEDAN LLC,2124340400,No,700,ROCKWAY TURNPIKE  SUITE # 202,LAWRENCE,NY,11559,LUXURY/LIMOUSINE,40.753913,-73.986417,12/04/2023,18:00:12,"(40.753913, -73.986417)"
B03365,WISE TRANSPORTATION CORP,3479475454,No,34-18,NORTHERN BOULEVARD  SUITE 344,LONGISLAND CITY,NY,11101,BLACK CAR BASE,40.7517583,-73.929177,12/04/2023,18:00:12,"(40.7517583, -73.929177)"
B03420,TADA USA INC.,7185395680,No,152-53,10 AVENUE  SUITE 210,WHITESTONE,NY,11357,BLACK CAR BASE,40.7935596,-73.8083166,12/04/2023,18:00:12,"(40.7935596, -73.8083166)"
B02424,FRIENDLY RIDE INC,7185455466,No,32-72,GALE AVENUE,LIC,NY,11101,LUXURY/LIMOUSINE,40.619641,-73.737598,12/04/2023,18:00:12,"(40.619641, -73.737598)"
B00222,"REYNO CAR SVC, INC.",2129236800,Yes,609,W 175TH STREET,NEW YORK,NY,10033,LIVERY BASE,40.844996,-73.9348,12/04/2023,18:00:12,"(40.844996, -73.9348)"
B01079,THE METRO MARINE CAR SERVICE INC,7187455555,No,9425,5 AVENUE,BROOKLYN,NY,11209,LIVERY BASE,40.618621,-74.030267,12/04/2023,18:00:12,"(40.618621, -74.030267)"
B02770,"CAVALIER CAR & LIMOUSINE, INC.",7184542900,No,185-08,UNION TURNPIKE,FRESH MEADOWS,NY,11366,BLACK CAR BASE,40.728365,-73.78328,12/04/2023,18:00:12,"(40.728365, -73.78328)"
B03127,ULTIMATE BLACK CAR CORP.,9174125000,No,2296,SECOND AVENUE,NEW YORK,NY,10035,BLACK CAR BASE,40.7980978,-73.9366176,12/04/2023,18:00:12,"(40.7980978, -73.9366176)"
B02912,FIRST CLASS LUXURY INC,2123040452,No,4980,BROADWAY,NEW YORK,NY,10034,BLACK CAR BASE,40.868198,-73.91923,12/04/2023,18:00:12,"(40.868198, -73.91923)"
B02096,"CET GROUP, INC",2129650889,No,47,LUDLOW STREET,NEW YORK,NY,10002,BLACK CAR BASE,40.71642,-73.99046,12/04/2023,18:00:12,"(40.71642, -73.99046)"
B01336,BAY EXPRESS CORP.,7182323434,No,2134,86 STREET,BROOKLYN,NY,11214,LIVERY BASE,40.602225,-73.99315,12/04/2023,18:00:12,"(40.602225, -73.99315)"
B02256,"EUROPE LIMOUSINE SERVICE, INC.",2014773200,No,24,FARVIEW TERRACE,PARAMUS,NJ,07652,BLACK CAR BASE,40.922042,-74.069773,12/04/2023,18:00:12,"(40.922042, -74.069773)"
B03426,CONCINNITY TRANSPORTATION GROUP INC,9179169289,No,3370,PRINCE STREET  202,FLUSHING,NY,11354,BLACK CAR BASE,40.7646429,-73.8336861,12/04/2023,18:00:12,"(40.7646429, -73.8336861)"
B01678,"G.T.N.Y. CAR SERVICE, INC.",2123042222,Yes,2320,HUGHES AVENUE,BRONX,NY,10458,LIVERY BASE,40.864581,-73.92253,12/04/2023,18:00:12,"(40.864581, -73.92253)"
B03363,RAIN SOLUTION INC,6463967060,No,73,MARKET STREET 3FL.  STE 376,YONKERS,NY,10710,BLACK CAR BASE,40.9629015,-73.8565801,12/04/2023,18:00:12,"(40.9629015, -73.8565801)"
B02832,NYC FLY WHEELS INC.,7184231111,No,208-01,NORTHERN BOULEVARD  SUITE #4B,BAYSIDE,NY,11361,LIVERY BASE,40.759035,-73.775438,12/04/2023,18:00:12,"(40.759035, -73.775438)"
B03440,METRO CAR SERVICE CORP.,7183847777,No,180,KNICKERBOCKER AVENUE,BROOKLYN,NY,11237,BLACK CAR BASE,40.7109081,-73.9450392,12/04/2023,18:00:12,"(40.7109081, -73.9450392)"
B01717,HIGH CLASS BRONX LIMO C/S CORP,7189331111,No,2269,HAMPDEN PLACE,BRONX,NY,10468,LIVERY BASE,40.861378,-73.91125,12/04/2023,18:00:12,"(40.861378, -73.91125)"
B03349,RIDGEWAY TRANSIT INC,7187484444,No,6809,3 AVENUE,BROOKLYN,NY,11220,BLACK CAR BASE,40.6361246,-74.0257149,12/04/2023,18:00:12,"(40.6361246, -74.0257149)"
B03281,JARPA TRANSPORTATION CORP.,7186350047,No,2825,THIRD AVENUE  SUITE 301,BRONX,NY,10455,BLACK CAR BASE,40.8158019,-73.9184149,12/04/2023,18:00:12,"(40.8158019, -73.9184149)"
B01777,PREMIUM RADIO DISP & MULTI SVC,2126942222,Yes,425,EDGECOMBE AVENUE,NEW YORK,NY,10032,LIVERY BASE,40.82983,-73.94008,12/04/2023,18:00:12,"(40.82983, -73.94008)"
B00860,SEAMAN RADIO DISPATCHERS INC,2123043612,Yes,4020,10 AVENUE,NEW YORK,NY,10034,LIVERY BASE,40.869265,-73.91584,12/04/2023,18:00:12,"(40.869265, -73.91584)"
B02535,LFS LIMO CORP.,6317767786,No,1225,FRANKLIN AVE  SUITE 325,GARDEN CITY,NY,11530,LUXURY/LIMOUSINE,40.773186,-73.038617,12/04/2023,18:00:12,"(40.773186, -73.038617)"
B03482,BUSHWICK CAR SERVICE BLACK INC.,7183865002,No,180,KNICKERBOCKER AVENUE,BROOKLYN,NY,11237,BLACK CAR BASE,40.7037157,-73.9274817,12/04/2023,18:00:12,"(40.7037157, -73.9274817)"
B80271,FLUSHING COMMUTER VAN MANAGEMENT CORP,7189393699,No,136-31,41 AVENUE,FLUSHING,NY,11355,COMMUTER VAN AUTHORITY BASE,40.7590233,-73.8284639,12/04/2023,18:00:12,"(40.7590233, -73.8284639)"
B02892,SEAMAN EXPRESS CORP.,6469644686,No,4020,10 AVENUE,NEW YORK,NY,10034,BLACK CAR BASE,40.869265,-73.91584,12/04/2023,18:00:12,"(40.869265, -73.91584)"
B01367,"ROYAL DISPATCH SERVICES, INC.",7187062200,No,32-72,GALE AVENUE,LIC,NY,11101,BLACK CAR BASE,40.744528,-73.92606,12/04/2023,18:00:12,"(40.744528, -73.92606)"
B02026,A RIDE FOR ALL LLC,7187067433,No,36-31,10TH STREET,LIC,NY,11106,LIVERY BASE,40.760313,-73.9412,12/04/2023,18:00:12,"(40.760313, -73.9412)"
B03430,G-4 CAR SERVICE INC,3477219836,No,909,THIRD AVENUE  #66,NEW YORK,NY,10150,BLACK CAR BASE,40.7583005,-73.9679009,12/04/2023,18:00:12,"(40.7583005, -73.9679009)"
B00608,SUMMIT CORPORATE CAR INC.,7189727770,No,41-24,38TH STREET,L.I.C.,NY,11101,BLACK CAR BASE,40.638477,-73.983333,12/04/2023,18:00:12,"(40.638477, -73.983333)"
B03327,DAHLIA TRANSPORTATION CORP.,3472977665,No,2322,ARTHUR AVENUE  #210,BRONX,NY,10458,BLACK CAR BASE,40.8538364,-73.8888478,12/04/2023,18:00:12,"(40.8538364, -73.8888478)"
B03258,CHERRY TRANSPORTATION NY INC.,7183330404,No,45-55,162ND STREET  1ST FL.,FLUSHING,NY,11358,BLACK CAR BASE,40.754798,-73.8044538,12/04/2023,18:00:12,"(40.754798, -73.8044538)"
B03304,ADRIS TRANSPORTATION INC,7187342771,No,73,MARKET STREET  3RD FLOOR,YONKERS,NY,10710,BLACK CAR BASE,40.9629015,-73.8565801,12/04/2023,18:00:12,"(40.9629015, -73.8565801)"
B02846,DLS TRANSPORTATION CORP.,7182850357,No,914,SOUNDVIEW AVENUE  2ND FL,BRONX,NY,10473,BLACK CAR BASE,40.823574,-73.867859,12/04/2023,18:00:12,"(40.823574, -73.867859)"
B01338,3210 WEBSTER AV PRESTIGE C/S,7187987700,No,3108,WEBSTER AVENUE,BRONX,NY,10467,LIVERY BASE,40.871011,-73.87645,12/04/2023,18:00:12,"(40.871011, -73.87645)"
B03358,GOLDEN ONE TRANSPORTATION INC.,3475069891,No,87-78,169 STREET,JAMAICA,NY,11432,BLACK CAR BASE,40.7101523,-73.7928657,12/04/2023,18:00:12,"(40.7101523, -73.7928657)"
B03113,MIKE'S VIP TRANSPORTATION INC.,7186994322,No,8652,WOODHAVEN BLVD,WOODHAVEN,NY,11421,BLACK CAR BASE,40.6939553,-73.8528373,12/04/2023,18:00:12,"(40.6939553, -73.8528373)"
B03142,"COOL WAY TECHNOLOGY, INC.",7182477277,No,300,CADMAN PLAZA WEST  12 FL,BROOKLYN,NY,11201,BLACK CAR BASE,40.6950802,-73.9911994,12/04/2023,18:00:12,"(40.6950802, -73.9911994)"
B03469,BINGO TRANSIT INC,9172172897,No,74,OLD FARM ROAD,LEVITTOWN,NY,11756,BLACK CAR BASE,40.7325432,-73.5323959,12/04/2023,18:00:12,"(40.7325432, -73.5323959)"
B02811,M.L TRIPS CORP.,7183884242,No,141,MAUJER STREET,BROOKLYN,NY,11206,BLACK CAR BASE,40.713899,-73.95531,12/04/2023,18:00:12,"(40.713899, -73.95531)"
B01362,AMERICAN BASE NO.1 INC.,7186656664,No,3077,3RD AVENUE,BRONX,NY,10451,LIVERY BASE,40.814476,-73.914387,12/04/2023,18:00:12,"(40.814476, -73.914387)"
B01339,R C AUDUBON SVC INC,2129238787,Yes,2224,AMSTERDAM AVENUE,NEW YORK,NY,10032,LIVERY BASE,40.838228,-73.937654,12/04/2023,18:00:12,"(40.838228, -73.937654)"
B02794,ASAP LUXE INC,7183630046,No,1304,UTICA AVENUE,BROOKLYN,NY,11203,BLACK CAR BASE,40.640752,-73.92954,12/04/2023,18:00:12,"(40.640752, -73.92954)"
B03235,ALIANZA TRANSPORTATION SERVICE INC.,7186180892,No,2488,GRAND CONCOURSE  SUITE #304,BRONX,NY,10458,BLACK CAR BASE,40.8620886,-73.8969582,12/04/2023,18:00:12,"(40.8620886, -73.8969582)"
B03374,1ST SELECTION CAR SERVICE INC.,7163714507,No,206,SARATOGA AVENUE 1ST FLOO,YONKERS,NY,10705,BLACK CAR BASE,40.9109416,-73.8926219,12/04/2023,18:00:12,"(40.9109416, -73.8926219)"
B02573,SUNSET PARK CAR SERVICE INC,7184386262,No,4409,5 AVENUE,BROOKLYN,NY,11220,LIVERY BASE,40.64816,-74.00679,12/04/2023,18:00:12,"(40.64816, -74.00679)"
B03435,AJC CAR SERVICE CORPORATION,9295017377,No,3418,NORTHERN BOULEVARD  VO2,L.I.C.,NY,11101,BLACK CAR BASE,40.7517583,-73.929177,12/04/2023,18:00:12,"(40.7517583, -73.929177)"
B03290,VOCES TRANSPORTATION MANAGEMENT CORP,7182857501,No,34-18,NORTHERN BOULEVARD,LIC,NY,11101,BLACK CAR BASE,40.7517583,-73.929177,12/04/2023,18:00:12,"(40.7517583, -73.929177)"
B03522,786 LIMO SERVICES WORLDWIDE INC,7186889321,No,1225,FRANKLIN AVENUE  325,GARDEN CITY,NY,11530,LUXURY/LIMOUSINE,40.7340743,-73.6354595,12/04/2023,18:00:12,"(40.7340743, -73.6354595)"
B01614,R TRANSPORT INC,7188593400,Yes,1021,AVENUE H,BROOKLYN,NY,11230,LIVERY BASE,40.629493,-73.96644,12/04/2023,18:00:12,"(40.629493, -73.96644)"
B03265,"TIJUANA CAR SERVICE NO. 1, INC",9173978085,No,253B,NEW DORP LANE,STATEN ISLAND,NY,10306,LIVERY BASE,40.5728626,-74.1137062,12/04/2023,18:00:12,"(40.5728626, -74.1137062)"
B02037,KINGSDALE DISPATCH INC,7187962222,No,3265,JOHNSON AVENUE,BRONX,NY,10463,LIVERY BASE,40.880379,-73.911322,12/04/2023,18:00:12,"(40.880379, -73.911322)"
B03097,AERO LIMO INC,9175358712,No,53-12,104TH STREET,CORONA,NY,11368,BLACK CAR BASE,40.7411816,-73.8566502,12/04/2023,18:00:12,"(40.7411816, -73.8566502)"
B90522,UNIVERSAL CARRIER INC.,7186464444,No,1805,GRAVESEND NECK ROAD  2ND FLR,BROOKLYN,NY,11229,PARATRANSIT BASE,40.59599,-73.952765,12/04/2023,18:00:12,"(40.59599, -73.952765)"
B03521,FIRST OCEANA BLACK CAR INC.,7183751001,No,2395,CONEY ISLAND AVENUE,BROOKLYN,NY,11223,BLACK CAR BASE,40.598607,-73.9609532,12/04/2023,18:00:12,"(40.598607, -73.9609532)"
B02942,FANNY RADIO DISPATCHER SERVICE INC.,7186414444,No,129 - 02,LIBERTY AVENUE  SUITE #6,RICHMOND HILL,NY,11419,BLACK CAR BASE,40.6891158,-73.8160429,12/04/2023,18:00:12,"(40.6891158, -73.8160429)"
B02795,LIMO SEVEN TRANSPORTATION INC,6464625191,No,635,EAST    5 STREET  FIRST FLOOR,BROOKLYN,NY,11218,BLACK CAR BASE,40.641301,-73.98238,12/04/2023,18:00:12,"(40.641301, -73.98238)"
B02803,OUTSIDE'S CAR SERVICE INC.,6463637027,No,1975,LAFONTAINE AVENUE,BRONX,NY,10457,LIVERY BASE,40.846957,-73.894439,12/04/2023,18:00:12,"(40.846957, -73.894439)"
B03367,SHOW LIMO CORP.,7182606666,No,161,BRIGHTON   11 STREET,BROOKLYN,NY,11235,BLACK CAR BASE,40.578494,-73.9585348,12/04/2023,18:00:12,"(40.578494, -73.9585348)"
B02520,AMK LUXURY CAR & LIMO INC.,2122810059,No,20,15 STREET  SUITE 207,BROOKLYN,NY,11215,BLACK CAR BASE,40.634763,-73.935362,12/04/2023,18:00:12,"(40.634763, -73.935362)"
B03387,SHALOM EXPRESS CORP,7184372444,No,1201,39 STREET,BROOKLYN,NY,11218,BLACK CAR BASE,40.6419746,-73.9882753,12/04/2023,18:00:12,"(40.6419746, -73.9882753)"
B02838,THA MAYA CAR SERVICE INC,9175645451,No,6121,17 AVENUE,BROOKLYN,NY,11204,BLACK CAR BASE,40.622281,-73.99041,12/04/2023,18:00:12,"(40.622281, -73.99041)"
B02522,CHAUFFEURED EXECUTIVE TRANSPORTATION LLC,7188464455,No,86-11,LEFFERTS BOULEVARD  CELLAR FLOOR,RICHMOND HILL,NY,11418,LUXURY/LIMOUSINE,40.695811,-73.827203,12/04/2023,18:00:12,"(40.695811, -73.827203)"
B02301,DOUBLE A CAR SERVICE INC.,7187206666,No,1,FERRY TERMINAL DRIVE,STATEN ISLAND,NY,10301,LIVERY BASE,40.64309,-74.075357,12/04/2023,18:00:12,"(40.64309, -74.075357)"
B02868,CHA CHA TRANSPORTATION CORP,7186830246,No,35 - 30,154 STREET  2ND FLOOR,FLUSHING,NY,11354,BLACK CAR BASE,40.739075,-73.787622,12/04/2023,18:00:12,"(40.739075, -73.787622)"
B90496,ASCONA AMBLT SVC INC,7186461611,No,2421,BATH AVENUE,BROOKLYN,NY,11214,PARATRANSIT BASE,40.595422,-73.992368,12/04/2023,18:00:12,"(40.595422, -73.992368)"
B03236,AGUILA CAR & LIMO CORPORATION,7183933333,No,51-47,69TH STREET,WOODSIDE,NY,11377,BLACK CAR BASE,40.7338321,-73.8956614,12/04/2023,18:00:12,"(40.7338321, -73.8956614)"
B02594,FENIX MOBILE DISPATCHERS LTD,7188212900,No,586,SENECA AVE  1,RIDGEWOOD,NY,11385,LIVERY BASE,40.704224,-73.9103,12/04/2023,18:00:12,"(40.704224, -73.9103)"
B02133,"TWR CAR & LIMO, INC.",7186432200,No,241,37TH STREET  STE# 1-4-B460,BROOKLYN,NY,11232,BLACK CAR BASE,40.678782,-73.989979,12/04/2023,18:00:12,"(40.678782, -73.989979)"
B03042,BAYRIDGE EXPRESS LUXYRY INC,7182383000,No,377,BAYRIDGE AVENUE,BROOKLYN,NY,11220,BLACK CAR BASE,40.7101523,-73.7928657,12/04/2023,18:00:12,"(40.7101523, -73.7928657)"
B03422,CTG LOGISTICS INC.,9176672847,No,241,37TH STREET,BROOKLYN,NY,11232,BLACK CAR BASE,40.6787845,-73.9899849,12/04/2023,18:00:12,"(40.6787845, -73.9899849)"
B03433,STATUS RIDE LLC,3476564141,No,638,EDWARD TERRACE,WEST HEMPSTEAD,NY,11552,LUXURY/LIMOUSINE,40.695157,-73.66668,12/04/2023,18:00:12,"(40.695157, -73.66668)"
B02162,A B C SHUTTLE SERVICES CORPORATION,7183227777,No,141-36,ROCKAWAY BOULEVARD,SOUTH OZONE PK,NY,11436,LIVERY BASE,40.67387,-73.79852,12/04/2023,18:00:12,"(40.67387, -73.79852)"
B03177,BERNICE SERVICES INC,7185748888,No,252,JAVA STREET  UNIT 101,BROOKLYN,NY,11222,BLACK CAR BASE,40.7316899,-73.9499074,12/04/2023,18:00:12,"(40.7316899, -73.9499074)"
B01145,ULTRA RADIO DISP INC,7189928000,No,277,EAST  165 STREET,BRONX,NY,10456,LIVERY BASE,40.82939,-73.91607,12/04/2023,18:00:12,"(40.82939, -73.91607)"
B03424,LILIAS LUXURY CORP,7185777471,No,295,KNICKERBOCKER AVENUE,BROOKLYN,NY,11237,BLACK CAR BASE,40.7018978,-73.9234287,12/04/2023,18:00:12,"(40.7018978, -73.9234287)"
B00625,"CENTRAL CAR SERVICES,INC.",7183354141,No,94-12,ASTORIA BOULEVARD,EAST ELMHURST,NY,11369,LIVERY BASE,40.762639,-73.874743,12/04/2023,18:00:12,"(40.762639, -73.874743)"
B02784,SMILE TRANSPORTATION GROUP INC,7189425566,No,945,EAST 108TH STREET  SUITE B101,BROOKLYN,NY,11236,BLACK CAR BASE,40.641403,-73.91821,12/04/2023,18:00:12,"(40.641403, -73.91821)"
B02408,"PETER EXECUTIVE LIMOUSINE, CORP",7187847900,No,34-39,31 STREET,ASTORIA,NY,11106,BLACK CAR BASE,40.758334,-73.92795,12/04/2023,18:00:12,"(40.758334, -73.92795)"
B03226,PAXXIA LUXURY CORP.,9292074747,No,541,KINGSTON AVENUE,BROOKLYN,NY,11225,BLACK CAR BASE,40.7101523,-73.7928657,12/04/2023,18:00:12,"(40.7101523, -73.7928657)"
B03443,SILK ROAD LIMOUSINE LLC,3477592346,No,2348,LANCASTER AVE,EAST MEADOW,NY,11554,LUXURY/LIMOUSINE,40.7177055,-73.5550325,12/04/2023,18:00:12,"(40.7177055, -73.5550325)"
B00412,NYC 2 WAY INTERNATIONAL LTD,7186433900,No,241,37TH STREET  STE#1-4-B443,BROOKLYN,NY,11232,BLACK CAR BASE,40.678782,-73.98998,12/04/2023,18:00:12,"(40.678782, -73.98998)"
B02997,KALUMA TRANSPORTATION GROUP INC.,7185482222,No,3107,KINGSBRIDGE AVENUE,BRONX,NY,10463,BLACK CAR BASE,40.8803202,-73.9066749,12/04/2023,18:00:12,"(40.8803202, -73.9066749)"
B02657,MALCOLM LIMO EXPRESS CORP.,2126904000,Yes,2548,8 AVENUE,NEW YORK,NY,10030,LIVERY BASE,40.816919,-73.94591,12/04/2023,18:00:12,"(40.816919, -73.94591)"
B03295,NEW CENTURY CAR SERVICE CORP,8008294782,No,917,OGDEN AVENUE,BRONX,NY,10452,BLACK CAR BASE,40.8312247,-73.9306498,12/04/2023,18:00:12,"(40.8312247, -73.9306498)"
B03286,"MITA LIMOUSINE, INC.",2126793939,No,208,WEST 29TH ST.  #203,NEW YORK,NY,10001,BLACK CAR BASE,40.7478238,-73.9936274,12/04/2023,18:00:12,"(40.7478238, -73.9936274)"
B01482,SHORE TRANSPORTATION INC,7186466666,No,3173,CONEY ISLAND AVENUE,BROOKLYN,NY,11235,LIVERY BASE,40.57861,-73.95948,12/04/2023,18:00:12,"(40.57861, -73.95948)"
B02944,SCORPIO FIVE STAR CAR & LIMO SERVICE INC,9176839470,No,127-19,ROCKAWAY BOULEVARD,SOUTH OZONE PAR,NY,11420,BLACK CAR BASE,40.675409,-73.810012,12/04/2023,18:00:12,"(40.675409, -73.810012)"
B01016,810 CAR SVCE CORP,7182353480,No,2672,PITKIN AVENUE,BROOKLYN,NY,11208,LIVERY BASE,40.674932,-73.87351,12/04/2023,18:00:12,"(40.674932, -73.87351)"
